sku,year_month,plc_stage,decline_risk_prob,decline_risk_level,decline_reason,recommended_action,region,regional_action,final_recommendation,mba_recommendation
re-004,2024-05,Maturity,0.944435921129965,High Risk,Long time since last sales peak; Product aging,Consider product repositioning; Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
sn-028,2024-05,Maturity,0.8987572838226373,High Risk,Product aging,Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-026, yo-029","Bundle with: mi-026, yo-029"
yo-018,2024-06,Maturity,0.9234332161417673,High Risk,Negative sales momentum; Product aging,Evaluate SKU rationalization or replacement,pl-south,Prioritize corrective actions in pl-south,"Urgent decline risk detected; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-south; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
re-025,2024-06,Maturity,0.9164542357705108,High Risk,Significant drop from peak sales; Long time since last sales peak; Negative sales momentum; Product aging,Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-026, yo-029","Bundle with: mi-026, yo-029"
mi-022,2024-08,Maturity,0.7346548408363013,High Risk,Negative sales momentum; Product aging,Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
mi-023,2024-08,Maturity,0.7602860794948518,High Risk,Long time since last sales peak; Negative sales momentum; Product aging,Consider product repositioning; Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-006, mi-026","Bundle with: mi-006, mi-026"
yo-029,2024-10,Decline,0.7132187702171993,High Risk,Significant drop from peak sales; Long time since last sales peak; Sustained negative growth; Product aging,Review pricing and promotions; Increase marketing or bundle offers; Consider product repositioning; Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Review pricing and promotions; Increase marketing or bundle offers; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
re-007,2024-10,Maturity,0.7081365346325678,High Risk,Long time since last sales peak; Product aging,Consider product repositioning; Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
yo-012,2024-12,Decline,0.7435684513367685,High Risk,Significant drop from peak sales; Long time since last sales peak; Product aging,Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement,pl-south,Prioritize corrective actions in pl-south,"Urgent decline risk detected; Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-south; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
yo-014,2024-12,Decline,0.7942819865781667,High Risk,Significant drop from peak sales; Long time since last sales peak; Product aging,Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
yo-016,2024-12,Decline,0.9481937792445264,High Risk,Significant drop from peak sales; Long time since last sales peak; Product aging,Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement,pl-central,Prioritize corrective actions in pl-central,"Urgent decline risk detected; Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-central; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
yo-018,2024-12,Maturity,0.8788838924341699,High Risk,Significant drop from peak sales; Long time since last sales peak; Product aging,Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement,pl-north,Prioritize corrective actions in pl-north,"Urgent decline risk detected; Review pricing and promotions; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-north; Bundle with: mi-026, mi-006","Bundle with: mi-026, mi-006"
sn-010,2024-12,Maturity,0.8428884554095337,High Risk,Long time since last sales peak; Sustained negative growth; Negative sales momentum; Product aging,Increase marketing or bundle offers; Consider product repositioning; Evaluate SKU rationalization or replacement,pl-north,Prioritize corrective actions in pl-north,"Urgent decline risk detected; Increase marketing or bundle offers; Consider product repositioning; Evaluate SKU rationalization or replacement; Prioritize corrective actions in pl-north; Bundle with: mi-026, yo-029","Bundle with: mi-026, yo-029"
